35,452.000000,735.000000
34,294.000000,735.000000
33,524.000000,772.000000
32,224.000000,772.000000
31,476.000000,770.000000
30,275.000000,771.000000
29,374.000000,710.000000
28,410.000000,732.000000
27,337.000000,732.000000
26,374.000000,750.000000
25,430.000000,768.000000
24,318.000000,768.000000
23,394.000000,785.000000
22,354.000000,788.000000
21,452.000000,803.000000
20,297.000000,803.000000
19,414.000000,819.000000
18,334.000000,821.000000
17,374.000000,826.000000
16,498.000000,803.000000
15,250.000000,803.000000
14,473.000000,837.000000
13,275.000000,837.000000
12,434.000000,855.000000
11,314.000000,855.000000
10,394.000000,860.000000
9,354.000000,860.000000
8,518.000000,840.000000
7,230.000000,840.000000
6,494.000000,872.000000
5,254.000000,872.000000
4,454.000000,888.000000
3,294.000000,888.000000
2,414.000000,894.000000
1,334.000000,894.000000
0,374.000000,896.000000
